,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,STATION CODE,LOCATIONS,State
101,19.547806524662704,29.236394564693747,43.45302950498725,516.0,516.0,516.0,4.0,4.0,4.0,0.0,0.0,0.0,26.0,26.0,26.0,9.0,9.0,9.0,7.5,7.5,7.5,3162.0,VAISHALI (SPECIFY LOCATION),bihar
102,0.6,0.4,0.2,692.0,594.0,496.0,95486322.7120001,0.0,0.0,0.0,0.0,0.0,28.4,25.9,23.4,2.0,2.0,2.0,7.9,7.6,7.4,1620.0,"AT RAIPUR REGION, CHHATISSGARH",chattissgarh
103,0.8,0.6,0.4,584.0,551.0,518.0,41474834.02045805,72715844.52007036,9818890.76881669,0.0,0.0,0.0,29.0,26.4,23.7,8.0,6.0,4.0,7.7,7.5,7.3,1621.0,"AT RAIPUR REGION,CHHATISSGARH",chattissgarh
104,49.97601638699696,53.821544307585995,26.884794552368938,604.0,604.0,604.0,0.0,227221648.90318006,18183757.05594142,0.3,0.3,0.3,30.0,30.0,30.0,10.0,10.0,10.0,7.5,7.5,7.5,1622.0,"AT BILASPUR REGION, CHHATISSGARH",chattissgarh
105,0.0,31.93740874889525,0.0,1599.0,1599.0,1599.0,270123693.50116044,76414357.88993439,3067905.004415744,0.8,0.8,0.8,30.0,30.0,30.0,12.0,12.0,12.0,7.5,7.5,7.5,1623.0,"AT BILASPUR REGION, CHHATISSGARH",chattissgarh
106,2.6,1.6,1.0,66.0,66.0,66.0,0.0,0.0,76515214.16960254,1.1,0.9,0.7,27.1,26.2,25.3,60.0,44.0,30.0,7.2,7.2,7.1,3169.0,Drinking Water intake well of Municipal cop. Korba before treatment plant at kohadia village Korba.,chattissgarh
107,1.0,0.7,0.4,68.0,68.0,68.0,0.0,0.0,3016517.238230534,0.9,0.7,0.4,27.2,26.3,25.4,27.0,22.0,10.0,7.3,7.2,7.2,3170.0,Drinking Water intake well of Municipal cop. Korba after treatment plant at kohadia village Korba.,chattissgarh
108,1.8,1.5,1.2,9600259.940293059,3963795.2469769833,0.0,500150808.91922784,0.0,15145852.543771397,0.4,0.3,0.2,0.0,31.834448255768447,42.9194892605053,9.0,9.0,9.0,7.4,7.4,7.4,3171.0,"HAND PUMP WATER 17/10 NEPALI MOHLLA, SHANKAR NAGAR, HEAVY INDUSTRIAL AREA, BHILAI, CHHATISGARH.",chattissgarh
109,0.6,0.5,0.4,0.0,1150150.5896123666,3920535.5873013483,33513496.593573,0.0,0.0,0.8,0.7,0.6,26.8,26.6,26.4,2.0,2.0,2.0,6.9,6.9,6.8,3172.0,"BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE, KORBA",chattissgarh
110,4.0,2.2,0.4,358045.2312408407,0.0,1649112.855941424,0.0,59751322.719512954,56203887.19018686,0.6,0.5,0.4,26.9,26.8,26.6,0.0,513674758.7425985,12952998.484610507,7.2,7.1,7.1,3173.0,"BOREWELL/ HANDPUMP IN PARSABHATA, BALCO, KORBA",chattissgarh
111,2.0,1.3,0.6,0.0,0.0,0.0,0.0,14074455.33156134,0.0,1.1,0.7,0.4,26.9,26.6,26.3,70.0,36.0,2.0,7.2,7.2,7.2,3174.0,"BOREWELL/ HANDPUMP IN DHANRAS, NTPC,KORBA",chattissgarh
112,0.0,0.0,77.79467103677034,621.0,621.0,621.0,0.0,0.0,34341372.79945973,0.3,0.3,0.3,31.0,31.0,31.0,0.0,0.0,0.0,6.7,6.7,6.7,2453.0,"VILLAGE KHANVEL, DADRA",daman_diu_dadra_nagar_haveli
113,10.43580357084105,6.804996750072001,0.0,660.0,660.0,660.0,0.0,93269130.8958055,21903791.73013806,0.3,0.3,0.3,32.0,32.0,32.0,0.0,0.0,0.0,6.9,6.9,6.9,2454.0,"VILLAGE ATHAL, DADRA",daman_diu_dadra_nagar_haveli
114,0.0,153.67038237992662,38.06038164040916,1594.0,1594.0,1594.0,3998217.3114553117,195798588.4936595,0.0,1.7,1.7,1.7,31.0,31.0,31.0,6784251919.116995,473511022.63149875,143703862.7829856,7.0,7.0,7.0,2455.0,"VILLAGE MASAT, DADRA",daman_diu_dadra_nagar_haveli
115,74.75877571622469,0.0,38.81989357594852,1600.0,1600.0,1600.0,0.0,28484353.985219035,0.0,4.5,4.5,4.5,32.0,32.0,32.0,0.0,1146383353.9096496,178574329.60888255,6.9,6.9,6.9,2456.0,"VILLAGE PIPERIA, DADRA",daman_diu_dadra_nagar_haveli
116,0.0,0.0,0.0,1060.0,1060.0,1060.0,71343499.43959793,27072954.791877314,0.0,2.2,2.2,2.2,31.0,31.0,31.0,10.0,10.0,10.0,7.0,7.0,7.0,2457.0,"VILLAGE GALONDA, DADRA",daman_diu_dadra_nagar_haveli
117,11.0,11.0,11.0,3000.0,3000.0,3000.0,0.0,85107124.96878533,0.0,0.3,0.3,0.3,31.0,31.0,31.0,0.0,772198079.5187589,0.0,7.2,7.2,7.2,2458.0,"VILLAGE, DADRA",daman_diu_dadra_nagar_haveli
118,113.7335080061438,133.83057445768972,0.0,1475.0,1255.0,830.0,2.0,2.0,2.0,6.4,2.6,0.1,32.0,30.7,29.0,16.0,16.0,16.0,7.4,7.2,6.9,1440.0,"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN",daman_diu_dadra_nagar_haveli
119,133.69886700812563,8.914736126290498,10.430327161703225,13000.0,6914.0,828.0,1.0,1.0,1.0,7.4,3.9,0.4,32.0,31.5,31.0,6.0,6.0,6.0,7.1,6.9,6.6,2448.0,"VILLAGE BHIMPORE, DAMAN",daman_diu_dadra_nagar_haveli
120,8.0,8.0,8.0,2358.0,2358.0,2358.0,5.0,5.0,5.0,6.8,6.8,6.8,31.0,31.0,31.0,26.0,26.0,26.0,6.9,6.9,6.9,2449.0,"VILLAGE RINGANWADA, DAMAN",daman_diu_dadra_nagar_haveli
121,61.277158274700206,0.0,51.45509962608867,680.0,680.0,680.0,0.0,0.0,34500696.131191604,2.1,2.1,2.1,31.0,31.0,31.0,20.0,20.0,20.0,6.8,6.8,6.8,2450.0,"VILLAGE DUNETHA, DAMAN",daman_diu_dadra_nagar_haveli
122,65.02276447974309,94.45577791056994,117.73433884246039,1438.0,1438.0,1438.0,5.0,5.0,5.0,2.6,2.6,2.6,32.0,32.0,32.0,18.0,18.0,18.0,6.6,6.6,6.6,2451.0,"VILLAGE DABHEL, DAMAN",daman_diu_dadra_nagar_haveli
123,7.0,7.0,7.0,1580.0,1580.0,1580.0,10.0,10.0,10.0,9.4,9.4,9.4,32.0,32.0,32.0,34.0,34.0,34.0,7.0,7.0,7.0,2452.0,"VILLAGE KACHIGAM, DAMAN",daman_diu_dadra_nagar_haveli
124,0.8,0.7,0.6,1486.0,868.0,250.0,5.0,5.0,5.0,1.3,0.7,0.0,32.0,31.9,31.8,11.0,11.0,11.0,7.0,7.0,6.9,2277.0,WELL AT VERNA INDI.ESTATE.(M/S CIPLA LIMITED),goa
125,0.7,0.7,0.6,1439.0,767.0,94.0,17.0,17.0,17.0,1.1,0.6,0.1,31.6,30.3,29.0,33.0,33.0,33.0,7.3,6.7,6.2,2278.0,WELL AT SANCOALE INDL.ESTATE,goa
126,1.5,1.5,1.5,1542.0,1542.0,1542.0,76688506.02585663,0.0,28430214.89242369,0.1,0.1,0.1,30.0,30.0,30.0,5685805629.74599,0.0,115101137.21772915,6.8,6.8,6.8,2279.0,"WELL AT ZUARI INDUSTRIES LTD, ZUARI NAGAR",goa
127,1.6,0.9,0.1,1479.0,844.0,208.0,446336200.95338553,0.0,0.0,3.5,2.3,1.1,31.0,30.4,29.7,0.0,305211846.85752565,0.0,6.6,6.3,6.1,2280.0,WELL AT KUDAI INDL. ESTATE(M/S CADILA HEALTHCARE LIMITED),goa
128,1.1,0.7,0.2,1420.0,733.0,45.0,49.0,36.0,23.0,0.3,0.2,0.1,30.0,29.3,28.5,170.0,125.0,79.0,6.1,5.8,5.4,2281.0,WELL AT CORLIM INDL. ESTATE,goa
129,0.3,0.3,0.2,1497.0,826.0,155.0,23.0,23.0,23.0,1.2,0.7,0.3,31.6,31.3,31.0,79.0,79.0,79.0,7.0,6.4,5.9,2282.0,WELL AT PILERNE INDUSTRIAL ESTATE(M/S UNICHEM ),goa
130,3.0,1.6,0.1,328.0,171.0,14.0,13.0,8.0,2.0,0.2,0.1,0.0,32.2,30.7,29.2,33.0,23.0,13.0,7.0,7.0,7.0,3193.0,BORE WELL AT CUNCOLIM INDUSTRIAL ESTATE,goa
131,1.6,1.2,0.7,1429.0,756.0,83.0,8.0,8.0,8.0,1.4,1.2,0.9,31.0,30.5,30.0,17.0,17.0,17.0,6.9,6.2,5.5,3194.0,BORE WELL AT BETHORA INDUSTRIAL ESTATE,goa
132,1.5,1.2,0.9,1404.0,829.0,253.0,240.0,240.0,240.0,1.5,0.8,0.1,31.6,31.6,31.5,540.0,540.0,540.0,7.9,7.3,6.7,3195.0,BORE WELL AT MADKAIM INDUSTRIAL ESTATE,goa
133,0.8,0.8,0.8,501.0,475.0,462.0,4.0,2.0,1.0,0.5,0.5,0.5,25.0,24.3,24.0,7.0,5.0,4.0,8.3,7.7,6.7,1555.0,"AT KALA AMB, H.P",himachal_pradesh
134,0.8,0.5,0.4,564.0,521.0,436.0,5.0,2.0,1.0,0.7,0.7,0.6,23.0,22.3,22.0,8.0,5.0,4.0,8.0,7.6,6.9,1556.0,"AT PAONTA SAHIB, H.P",himachal_pradesh
135,0.1,0.1,0.1,702.0,627.0,477.0,269242995.3570316,0.0,29412925.647673782,0.3,0.2,0.0,19.6,19.6,19.6,0.0,0.0,147891784.32213956,7.0,6.9,6.8,1557.0,"AT PARWANOO, H.P",himachal_pradesh
136,0.1,0.1,0.1,798.0,639.0,320.0,0.0,171768940.0579845,47987062.82960615,1.9,1.4,0.4,24.046155186180776,43.25569281275976,22.461747087899933,3566484141.444817,113245454.67995705,84739351.50137205,7.3,7.0,6.8,1558.0,"AT BADDI, H.P",himachal_pradesh
137,0.1,0.1,0.1,405.0,374.0,311.0,181494574.3710104,104259819.17695342,37032837.64929245,2.9,2.7,2.5,42.49553571086308,17.119266679486813,35.29115927416073,1723810258.6574516,0.0,0.0,7.0,6.9,6.9,1559.0,"AT BAROTIWALA, H.P",himachal_pradesh
138,0.1,0.1,0.1,881.0,746.0,476.0,339783672.57058144,38981160.64868497,0.0,2.4,1.5,1.0,28.273952851452282,30.17238601410057,23.33690477714385,0.0,0.0,0.0,7.4,7.2,6.9,1560.0,"AT NALAGARH, H.P",himachal_pradesh
139,0.5,0.5,0.5,772.0,761.0,739.0,0.0,12866893.187170578,0.0,4.3,3.5,2.0,20.0,20.0,20.0,0.0,290029488.3393783,0.0,8.2,8.0,7.6,1561.0,"AT DAMTAL, H.P",himachal_pradesh
140,0.8,0.5,0.4,698.0,681.0,673.0,74061902.41771454,68976189.55850877,59195625.861346416,3.1,2.5,2.2,22.0,15.3,12.0,4095492132.6595664,0.0,0.0,7.6,7.6,7.6,1562.0,"AT UNA, H.P",himachal_pradesh
141,35.0,6.9,0.8,632.0,489.0,268.0,40.0,17.0,8.0,10.1,2.5,0.0,20.0,13.0,7.0,168.0,77.0,28.0,7.9,7.0,5.9,1872.0,SHIMLA D/S OF MSW DUMPING SIOT,himachal_pradesh
142,0.3,0.2,0.2,410.0,381.0,324.0,0.0,0.0,12366849.340527946,4.6,3.5,3.0,16.0,16.0,16.0,0.0,0.0,61780390.025208525,7.7,7.3,6.5,1873.0,DHARAMSHALA KANGRA D/S OF MSW DUMPING SIOT,himachal_pradesh
143,2.4,1.2,0.1,572.0,389.0,215.0,40.0,15.0,6.0,10.6,1.9,0.0,22.0,17.7,14.5,84.0,28.0,8.0,7.9,7.5,6.9,1874.0,SOLAN-D/S OF MSW DUMPING SIOT-,himachal_pradesh
144,16.0,4.7,0.5,592.0,357.0,244.0,94.0,70.0,26.0,0.9,0.3,0.1,18.0,16.0,13.0,280.0,235.0,180.0,8.5,8.3,8.1,1875.0,MANDI-D/S OF MSW DUMPING SIOT,himachal_pradesh
145,0.2,0.1,0.1,808.0,644.0,317.0,23921906.17436726,39248202.13940686,0.0,4.2,3.6,2.3,22.493219156756794,29.68414586902742,10.632886451652293,0.0,0.0,0.0,7.0,6.8,6.8,1877.0,BADDI INDUSTRIAL AREA,himachal_pradesh
146,0.1,0.1,0.1,400.0,370.0,309.0,21944416.280443717,0.0,0.0,3.3,3.3,3.3,43.539559137589364,26.837692152916976,33.50511993594151,6693494402.00752,1047269955.1134745,201256681.13941965,7.4,7.4,7.3,1878.0,BAROTIWALA INDUSTRIAL AREA,himachal_pradesh
147,2.0,0.7,0.1,885.0,750.0,479.0,151878995.29728162,0.0,26408879.15264838,1.9,1.9,1.9,51.546381010429684,26.462052468298047,0.0,0.0,71722750.91200492,7796964.299294706,6.8,6.7,6.6,1879.0,NALAGARH INDUSTRIAL AREA,himachal_pradesh
148,8.0,3.1,0.7,606.0,585.0,574.0,3.0,2.0,1.0,0.6,0.6,0.6,25.0,24.3,24.0,5.0,5.0,5.0,8.2,7.9,7.2,1880.0,KALA AMB INDUSTRIAL AREA,himachal_pradesh
149,0.8,0.8,0.7,537.0,480.0,365.0,1.0,1.0,1.0,0.8,0.8,0.8,24.0,23.3,23.0,5.0,4.0,2.0,7.9,7.5,6.9,1881.0,PAONTA SAHIB INDUSTRIAL AREA,himachal_pradesh
150,0.4,0.3,0.1,899.0,852.0,828.0,0.0,0.0,0.0,5.1,4.1,3.6,22.0,16.0,13.0,0.0,63037491.59699372,75999975.8650359,7.7,7.7,7.6,1882.0,MEHATPUR INDUSTRIAL AREA,himachal_pradesh
151,0.1,0.1,0.1,735.0,724.0,719.0,0.0,0.0,82518896.49574766,2.2,1.9,1.3,23.0,16.3,13.0,0.0,0.0,0.0,8.0,7.9,7.6,1883.0,UNA INDUSTRIAL AREA,himachal_pradesh
152,0.1,0.1,0.1,740.0,447.0,132.0,14996754.062923253,115574093.2332003,49538440.81681458,1.2,0.5,0.0,19.0,16.6,13.5,2042944729.5767405,12692003.983261572,0.0,8.6,8.0,7.7,2628.0,HAND PUMP AT SHAMSHI,himachal_pradesh
153,0.1,0.1,0.1,549.0,502.0,484.0,0.0,0.0,0.0,0.2,0.1,0.0,20.0,19.0,18.0,3072426547.07677,1253590756.131887,0.0,8.9,8.2,7.7,2629.0,HAND PUMP AT MANDI TOWN,himachal_pradesh
154,1.0,0.7,0.1,1130.0,1042.0,867.0,25079295.121692326,7353650.753412939,25681879.366941985,5.1,3.5,0.5,21.0,15.7,13.0,0.0,344470993.8682111,0.0,7.9,7.6,7.4,2630.0,HAND PUMP AT HAMIRPUR TOWN,himachal_pradesh
155,0.8,0.7,0.4,794.0,767.0,754.0,0.0,0.0,0.0,3.5,2.4,0.2,20.0,16.0,14.0,11237589624.445946,0.0,0.0,7.7,7.5,7.2,2631.0,HAND PUMP AT NADAUN TOWN,himachal_pradesh
156,0.1,0.1,0.1,869.0,787.0,729.0,0.0,56152818.24384592,14090336.598988976,8.8,2.2,0.0,20.0,17.5,15.0,0.0,404490934.8092337,9574817.961557666,8.4,7.5,6.9,2632.0,HAND PUMP AT BILASPUR TOWN,himachal_pradesh
157,0.1,0.1,0.1,1010.0,443.0,121.0,145749727.32111686,139363835.05376545,74657578.67138846,0.3,0.1,0.0,35.049819447374574,74.67099320064986,0.0,4381232839.088074,0.0,0.0,8.2,7.8,6.7,2633.0,HAND PUMP AT RECONGPEO,himachal_pradesh
158,0.1,0.1,0.1,334.0,289.0,200.0,295405906.1998347,51879875.95310456,0.0,1.1,0.5,0.1,8.0,7.3,7.0,2103875201.559703,299955653.75440866,0.0,7.9,7.7,7.6,2634.0,HAND PUMP AT SHIMLA,himachal_pradesh
159,0.1,0.1,0.1,455.0,299.0,221.0,0.0,0.0,0.0,0.5,0.2,0.1,19.02405092705424,12.437993599252755,9.479151519773247,0.0,448447019.8476129,49030953.942459844,8.9,8.4,8.2,2635.0,HAND PUMP AT RAMPUR,himachal_pradesh
160,1.0,0.7,0.2,586.0,441.0,368.0,0.0,0.0,2380098.1989004067,1.1,0.5,0.2,19.0,18.3,17.0,7614572668.147452,0.0,164648377.63066408,7.5,7.5,7.4,2636.0,HAND PUMP AT KANGRA TEMPLE/ TOWN,himachal_pradesh
161,2.8,1.3,0.6,1590.0,1243.0,1070.0,0.0,42085504.97620956,518564.53799177136,5.8,2.1,0.2,20.0,18.3,15.0,7491241814.936225,0.0,0.0,7.5,7.4,7.4,2637.0,HAND PUMP AT JWALAJI TEMPLE,himachal_pradesh
162,0.3,0.3,0.2,689.0,656.0,640.0,186648936.28818917,0.0,0.0,2.9,2.3,1.2,22.0,20.7,20.0,10289972266.476969,59727701.22023334,0.0,8.0,7.9,7.5,2638.0,HAND PUMP AT CHINTPURNI TEMPLE/ TOWN,himachal_pradesh
163,0.3,0.2,0.2,437.0,323.0,96.0,0.0,95545751.07475056,0.0,2.0,1.8,1.3,20.0,18.3,15.0,1120982025.9155407,0.0,0.0,8.3,8.0,7.8,2639.0,HAND PUMP AT CHAMUNDA DEVI TEMPLE/ TOWN,himachal_pradesh
164,0.6,0.3,0.2,388.0,370.0,361.0,0.0,85045204.29003473,10413717.19218735,1.6,1.3,1.1,21.0,20.3,20.0,0.0,596639304.6504174,7742467.797046104,7.7,7.7,7.6,2640.0,HAND PUMP AT SANSARPUR TERRACE IA,himachal_pradesh
165,0.6,0.5,0.3,761.0,732.0,674.0,0.0,0.0,15353814.431745961,0.7,0.6,0.2,22.0,19.3,18.0,1775498228.6139789,49219558.88193918,64733585.552407295,7.9,7.7,7.2,2641.0,HAND PUMP AT CHAMBA TOWN,himachal_pradesh
166,1.6,1.3,0.6,237.0,186.0,161.0,370690138.64297473,0.0,0.0,1.9,0.8,0.2,23.0,20.3,19.0,0.0,21712334.297469497,79271107.75257553,8.0,7.8,7.4,2642.0,HAND PUMP AT DALHOUSIE TOWN,himachal_pradesh
167,0.2,0.1,0.1,392.0,308.0,266.0,270890902.2253023,10922161.01686878,2727886.063882,0.3,0.2,0.0,20.0,20.0,20.0,2.0,2.0,2.0,7.4,7.3,7.1,2643.0,HAND PUMP AT SOLAN,himachal_pradesh
168,0.1,0.1,0.1,1105.0,1105.0,1105.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,29.169665375993574,40.63381508164917,10055294715.532005,311139628.14909285,0.0,8.7,8.7,8.7,2644.0,HAND PUMP AT PARWANOO IA,himachal_pradesh
169,0.9,0.9,0.8,648.0,632.0,600.0,3.0,2.0,1.0,0.8,0.8,0.8,24.5,22.2,21.0,8.0,6.0,5.0,7.9,7.5,6.7,2645.0,HAND PUMP AT NAHAN,himachal_pradesh
170,0.8,0.7,0.7,1250.0,979.0,436.0,2.0,1.0,1.0,0.8,0.8,0.6,24.0,22.0,21.0,5.0,5.0,5.0,8.3,7.8,6.9,2646.0,HAND PUMP AT KALA AMB,himachal_pradesh
171,0.6,0.5,0.3,686.0,522.0,440.0,0.0,0.0,0.0,1.2,1.0,0.5,24.0,16.7,13.0,0.0,0.0,0.0,8.2,7.9,7.4,2647.0,HAND PUMP AT TAHLIWAL IA,himachal_pradesh
172,0.0,21.185899348323545,97.83011967365776,281.0,281.0,281.0,0.0,0.0,29843462.77175837,0.0,0.0,0.0,14.5,14.5,14.5,6309525791.391253,166150144.47068572,70468929.17434311,8.1,8.1,8.1,2648.0,HAND PUMP AT KEYLONG,himachal_pradesh
173,1.2,1.0,0.8,180.0,159.0,137.0,220.0,150.0,79.0,3.31,2.6,1.96,27.5,27.5,27.4,630.0,370.0,110.0,7.2,6.2,5.2,19.0,"WELL AT ELOOR, KERALA",kerala
174,0.6,0.4,0.2,125.0,114.0,103.0,350.0,184.0,17.0,1.3,0.9,0.42,26.0,25.0,24.0,430.0,226.0,22.0,7.7,6.7,5.7,22.0,"WELL AT CHUNGAPALLY, KERALA",kerala
175,0.6,0.6,0.6,220.0,195.0,170.0,280.0,162.0,43.0,0.84,0.8,0.81,24.0,24.0,24.0,430.0,270.0,110.0,7.2,6.0,4.8,35.0,"WELL AT PUNALUR, KERALA",kerala
176,1.6,1.3,1.0,412.0,354.0,296.0,110.0,95.0,79.0,2.3,1.2,0.0,26.5,25.8,25.0,350.0,285.0,220.0,6.8,6.4,6.0,1581.0,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",kerala
177,7.0,4.0,1.0,170.0,160.0,150.0,94.0,69.0,43.0,4.2,2.7,1.2,26.5,25.8,25.0,240.0,210.0,180.0,7.4,7.2,7.0,1582.0,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",kerala
178,0.5,0.5,0.5,168.0,159.0,150.0,2.0,1.0,0.0,1.2,0.8,0.3,23.0,23.0,23.0,49.0,33.0,17.0,4.8,4.7,4.6,1583.0,"KUNDARA, KOLLAM DISTT. , KERALA",kerala
179,1.2,0.8,0.3,211.0,177.0,143.0,210.0,160.0,110.0,0.1,0.0,0.0,28.5,28.3,28.0,280.0,245.0,210.0,7.7,7.7,7.6,1584.0,"CHERTHALA, ALLEPPY, KERALA",kerala
180,4.9,3.1,1.2,580.0,405.0,230.0,140.0,76.0,11.0,9.7,5.2,0.7,29.0,28.6,28.2,700.0,455.0,210.0,7.7,7.7,7.7,1585.0,"VYTTILA, ERNAKULAM DISTT. , KERALA",kerala
181,1.2,1.0,0.8,526.0,328.0,130.0,11.0,7.0,2.0,9.9,5.7,1.5,28.5,27.8,27.0,21.0,14.0,7.0,6.8,5.7,4.5,1586.0,"EDAYAR ERNAKULAM DISTT., KERALA",kerala
182,1.0,0.9,0.8,250.0,248.0,245.0,220.0,116.0,11.0,8.5,8.1,7.8,28.0,28.0,28.0,700.0,361.0,21.0,7.2,6.9,6.6,1587.0,"KALAMASSERY ERNAKULAM DISTT. , KERALA",kerala
183,1.2,1.0,0.8,280.0,270.0,260.0,180.0,160.0,140.0,2.9,1.5,0.2,30.0,29.0,28.0,630.0,585.0,540.0,7.9,7.6,7.2,1588.0,"PUNKUNNAM TRISSUR DISTT. , KERALA",kerala
184,0.8,0.6,0.4,290.0,285.0,280.0,4.0,2.0,0.0,1.0,0.7,0.4,29.5,29.3,29.0,21.0,16.0,11.0,6.9,6.8,6.7,1589.0,"MALAPURAM , KERALA",kerala
185,0.9,0.6,0.2,106.0,101.0,95.0,350.0,181.0,11.0,1.9,1.6,1.3,27.0,26.0,25.0,790.0,404.0,17.0,7.0,6.7,6.3,1590.0,"MAVOOR, KOZHIKKODE DISTT. , KERALA",kerala
186,1.2,1.0,0.7,100.0,99.0,98.0,4.0,2.0,0.0,3.7,3.3,2.9,29.0,29.0,29.0,21.0,16.0,11.0,6.1,5.5,4.8,1591.0,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",kerala
187,2.0,1.2,0.4,198.0,164.0,130.0,2.0,1.0,0.0,4.1,2.3,0.5,28.0,28.0,28.0,26.0,18.0,9.0,7.0,6.6,6.2,1592.0,"PAYYANNUR, KANNUR DISTT. , KERALA",kerala
188,0.5,0.4,0.3,405.0,281.0,156.0,1100.0,795.0,490.0,7.0,5.6,4.1,29.0,28.3,27.5,2600.0,1695.0,790.0,7.3,6.5,5.7,2308.0,FATHIMAPURAM (CHANGANASSERY),kerala
189,0.7,0.7,0.6,98.0,93.0,88.0,790.0,640.0,490.0,3.4,2.9,2.4,29.0,28.0,27.0,1400.0,1250.0,1100.0,6.5,5.7,4.9,2309.0,KAROOR (PALA),kerala
190,0.5,0.5,0.5,166.0,157.0,147.0,1100.0,655.0,210.0,3.2,2.7,2.3,28.0,27.5,27.0,2800.0,1615.0,430.0,6.5,6.2,5.9,2310.0,VAIKOM,kerala
191,0.4,0.4,0.4,179.0,137.0,95.0,630.0,340.0,49.0,11.9,6.8,1.6,28.0,27.3,26.5,1100.0,605.0,110.0,6.9,6.2,5.5,2311.0,VADAVATHOOR (KOTTAYAM),kerala
192,1.5,1.1,0.7,254.0,249.0,243.0,430.0,320.0,210.0,0.1,0.0,0.0,28.0,28.0,28.0,700.0,505.0,310.0,7.8,7.8,7.7,2313.0,"SARVODAPURAM, ALAPPUZHA",kerala
193,1.2,1.2,1.2,230.0,205.0,180.0,210.0,160.0,110.0,2.5,2.5,2.4,24.0,24.0,24.0,490.0,460.0,430.0,7.2,6.4,5.5,2314.0,KUREEPUZHA (KOLLAM),kerala
194,2.0,1.9,1.8,525.0,488.0,450.0,210.0,111.0,11.0,2.5,1.7,0.9,24.0,24.0,24.0,490.0,267.0,43.0,8.3,7.9,7.4,2315.0,K.M.M.L. (KOLLAM),kerala
195,1.2,1.0,0.8,81.0,63.0,45.0,21.0,15.0,9.0,1.2,1.2,1.1,28.0,27.5,27.0,220.0,165.0,110.0,5.8,5.2,4.5,2316.0,CHELLORA TRENCHING GROUND (KANNUR),kerala
196,1.0,1.0,0.9,404.0,313.0,222.0,4.0,2.0,0.0,7.0,5.5,4.0,28.0,27.5,27.0,21.0,15.0,9.0,6.0,6.0,6.0,2317.0,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,kerala
197,0.7,0.5,0.3,240.0,237.0,234.0,22.0,11.0,0.0,3.4,2.1,0.8,29.5,29.0,28.5,110.0,55.0,0.0,6.8,6.6,6.3,2320.0,MANJERI,kerala
198,2.8,1.9,1.0,300.0,280.0,260.0,260.0,170.0,79.0,5.2,4.1,3.0,31.0,30.0,29.0,790.0,640.0,490.0,7.2,6.7,6.2,2321.0,LALOOR (THRISSUR),kerala
199,105.0,53.2,1.3,230.0,208.0,186.0,230.0,155.0,79.0,3.0,2.3,1.5,30.0,29.5,29.0,790.0,505.0,220.0,5.3,5.2,5.1,2322.0,OLLUR (THRISSUR),kerala
200,1.0,0.9,0.8,347.0,299.0,251.0,1400.0,740.0,79.0,7.9,5.5,3.1,28.1,27.6,27.0,1700.0,1065.0,430.0,6.8,5.8,4.7,2323.0,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),kerala
201,3.0,1.9,0.8,230.0,157.0,83.0,11.0,7.0,2.0,0.5,0.4,0.4,28.3,27.8,27.3,21.0,13.0,5.0,7.0,7.0,7.0,2324.0,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),kerala
202,1.2,0.8,0.3,1074.0,885.0,696.0,350.0,245.0,140.0,2.6,1.8,1.1,31.0,30.0,29.0,540.0,390.0,240.0,7.1,7.0,6.9,2327.0,KARUKAMANI,kerala
203,0.9,0.6,0.2,105.0,105.0,104.0,350.0,180.0,9.0,3.6,2.7,1.8,29.0,27.5,26.0,790.0,406.0,21.0,7.1,6.2,5.2,3463.0,"WELL AT VELLIPARAMBA, KOZHEKODE",kerala
